"ObsoleteRef","Reason","Details"
"./tests/tools/README.md","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\argumentation_analysis\README.md"
"./tests/tools/README.md","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\argumentation_analysis\agents\tools\analysis\README.md"
"../../tests/tools/README.md","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\argumentation_analysis\agents\tools\analysis\README.md"
"../../../../tests/unit/argumentation_analysis/test_operational_agents_integration.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\argumentation_analysis\orchestration\hierarchical\operational\README.md"
"../tests/unit/argumentation_analysis/utils/core_utils/test_file_utils.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\analyse_structure_depot.md"
"../tests/unit/argumentation_analysis/utils/core_utils/test_file_utils.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\analyse_structure_depot.md"
"../tests/conftest.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\architecture_python_java_integration.md"
"../tests/conftest.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\architecture\current_state_analysis.md"
"./tests/plan_action_tests.md","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\index.md"
"../tests/README.md","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\index.md"
"../tests/README.md","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\architecture\current_state_analysis.md"
"../tests/README.md","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\scripts\README.md"
"./tests/plan_action_tests.md","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\index.md"
"../tests/README.md","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\index.md"
"../tests/README.md","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\architecture\current_state_analysis.md"
"../tests/README.md","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\scripts\README.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\logique_definitions_par_defaut.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_analysis_plan.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\reports\etat_depot_couverture_tests.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\_archives\mission_optimisation_tests\rapport_corrections_tests_finales.md"
"../tests/unit/project_core/utils/test_file_utils.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\README_PROJETS_ETUDIANTS.md"
"../tests/unit/project_core/utils/test_file_utils.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\guides\guide_utilisation.md"
"../tests/unit/project_core/utils/test_file_utils.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\README_PROJETS_ETUDIANTS.md"
"../tests/unit/project_core/utils/test_file_utils.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\guides\guide_utilisation.md"
"../tests/unit/project_core/utils/test_file_utils.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\README_PROJETS_ETUDIANTS.md"
"../tests/unit/project_core/utils/test_file_utils.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\guides\guide_utilisation.md"
"tests/unit/project_core/utils/test_file_utils.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\README_PROJETS_ETUDIANTS.md"
"tests/unit/project_core/utils/test_file_utils.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot7_analysis_plan.md"
"tests/unit/project_core/utils/test_file_utils.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot7_completion_report.md"
"tests/unit/project_core/utils/test_file_utils.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\guides\guide_utilisation.md"
"tests/unit/project_core/utils/test_file_utils.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\projets\ACCOMPAGNEMENT_ETUDIANTS.md"
"tests/unit/project_core/utils/test_file_utils.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\projets\ACCUEIL_ETUDIANTS_SYNTHESE.md"
