PK,path,decimal_path,depth,Famille,Famille_camelCase,Sous-Famille,Soussousfamille,état,carte,niveau,nom_vulgarisé,Latin,text_fr,LTfr,desc_fr,Lfr115,example_fr,Lxfr145,link_fr,Family,Subfamily,Subsubfamily,text_en,LTen,Simple_name_en,desc_en,Len115,example_en,example_en_bis,Lxen145,link_en,Remarques,latin,exemple politique,political_example_en,proverbe,Family_ru,Subfamily_ru,Subsubfamily_ru,text_ru,desc_ru,example_ru,link_ru,Family_pt,Subfamily_pt,Subsubfamily_pt,text_pt,desc_pt,example_pt,link_pt,edition_fevrier_2022,print_&_play_fevrier_2022,+liens transverses,crossLink_PredatesOn,crossLink_Denounces,crossLink_Levarages,crossLink_Allows,crossLink_Opposes,crossLink_Inverts,crossLink_Mirrors,crossLink_IsRelatedTo,type lien transverse,AIF_skosDirectRef,AIF_skosExceptionRef,AIF_skosOther,AIF_skosMappingType,shape,image,svg_color,svg_illustration,print_and_play,decimal_path_padded,depth_max4
1,1,1,1,Insuffisance,insuffisance,,,2,1.0,2.0,,,Insuffisance,12.0,Les arguments que vous utilisez ne suffisent pas à démontrer votre propos.,74.0,,0.0,,Insufficiency,,,Insufficiency,13.0,,The arguments used fail to provide adequate support for the conclusion.,71.0,The evidence presented is insufficient to support the advanced conclusions.,,75,,light green 3: validé par ben le 3 octobre,,,,"Le bon blé porte l'ivraie.""",недостаток,,,недостаток,"Аргументы, которые вы используете, недостаточны, чтобы подтвердить ваше высказывание.",Представленные доказательства недостаточны для поддержки сделанных выводов.,,Insuficiência,,,Insuficiência,Os argumentos usados não fornecem suporte adequado para a conclusão.,"Considerando a fila na porta, este restaurante deve ter a melhor comida da área.",,,,,,,,,,,,,,GeneralAcceptanceDoubt_Conflict,,,skos:broadMatch,square,fusil cassé,#a901ef,,,1.0,1
2,1.1,"1,1",2,Insuffisance,insuffisance,Argument bâclé,,1,1.0,7.0,,,Argument bâclé,14.0,"Vous formulez un argument sur la base d'impressions ou d'anecdotes, sans preuve solide.",87.0,"Hier, j'ai marché dans une crotte de chien en saluant un passant dans la rue. En ville, mieux vaut éviter de s'adresser à des inconnus.",135.0,,Insufficiency,Sloppy argument,,Sloppy argument,15.0,,"You base your argument on anecdotes or instinct, without solid evidence.",72.0,"Yesterday, I stepped in dog poo after smiling at a passer-by, proving that it's best to avoid interaction with strangers in a city.",,131,,,,,,"""Pardonne à tous mais non à toi.""",недостаток,Топорный аргумент,,Топорный аргумент,"Вашему рассуждению не хватает точности, оно опирается на ощущения и байки. ","Вчера я наступил на собачью какашку после того, как улыбнулся прохожему, что доказывает, что в городе лучше избегать взаимодействия с незнакомцами.",,Insuficiência,Argumento descuidado,,Argumento descuidado,"Você baseia seu argumento em anedotas ou instinto, sem evidências sólidas.","Ontem, eu sorri para um estranho na rua e depois pisei em cocô de cachorro. Isso prova que nas cidades, é melhor evitar interagir com estranhos.",,,,,,,,,,,,,,LackOfPTKReliability_Scheme,,,skos:broadMatch,circle,démon qui lit (bof),,,,1.1,2
3,1.1.1,"1,11",3,Insuffisance,insuffisance,Argument bâclé,Argument vide,2,1.0,8.0,,,Argument vide,13.0,Vous utilisez des affirmations qui ne contribuent pas à établir un argument convaincant.,88.0,Il est inutile que je poursuive mes études car l'avenir est incertain.,70.0,https://fr.wikipedia.org/wiki/Appel_%C3%A0_l%27ignorance,Insufficiency,Sloppy argument,Hollow argument,Hollow argument,15.0,,Using assertions which don't have any argumentative weight.,59.0,There's no need to pursue further education since our future is so uncertain.,,77,https://en.wikipedia.org/wiki/Argument_from_ignorance," (portée limitée, argument vide ou appel à l'ignorance comme le suggère le lien???). J'aime l'exemple fr",,,,,недостаток,Топорный аргумент,Пустой аргумент,Пустой аргумент,"Утверждение, на котором основано ваше рассуждение, ничем не обосновано. ","Продолжение учебы бессмысленно, поскольку будущее неизвестно.",https://ru.wikipedia.org/wiki/Argumentum_ad_ignorantiam,Insuficiência,Argumento descuidado,Argumento vazio,Argumento vazio,Usando afirmações que não têm peso argumentativo.,"Não há necessidade de buscar educação adicional, pois nosso futuro é incerto.",,,,,,,,,,,,7.1.2.3,,OppositeConsequences_Conflict,PopularOpinion_Inference,,skos:broadMatch,circle,,,,,1.11,3
33,1.1.2,"1,12",3,Insuffisance,insuffisance,Argument bâclé,Justification triviale,,2.0,6.0,,,Justification triviale,22.0,"Vous attribuez à une habitude, une impression ou un exemple la valeur d'une preuve.",83.0,J'ai entendu dire que cette personne était sexiste ; il m'est donc impossible d'être en accord avec elle sur quoi que ce soit.,126.0,,Insufficiency,Sloppy argument,Trivial Justification,Trivial Justification,21.0,,"Using anecdotes, habits or intuition as evidence.",49.0,"I heard that this person is sexist; therefore, I find it impossible to agree with them on anything.",,99,,,,,,"""Nulle rose sans épine.""",недостаток,Топорный аргумент,Тривиальное обоснование,Тривиальное обоснование,"Привычку, впечатление или пример вы расцениваете как доказательство. ","Я слышал, что он сексист, так что мне нельзя соглашаться с ним ни по какому вопросу. ",,Insuficiência,Argumento descuidado,Justificação Trivial,Justificação Trivial,"Vocês atribuem a um hábito, uma impressão ou um exemplo o valor de uma prova.","Ouvi dizer que essa pessoa era sexista; portanto, é-me impossível concordar com ela em qualquer coisa.",,,,,,,,,,,,,,AlternativeMeans_Conflict,,,skos:broadMatch,circle,,,,,1.12,3
34,1.1.2.1,"1,121",4,Insuffisance,insuffisance,Argument bâclé,Justification triviale,1,2.0,1.0,,,Preuve anecdotique,18.0,"Vous basez votre argumentation sur un événement isolé, qui ne suffit pas à démontrer une règle générale.",104.0,J'ai eu de bonnes notes en mathématiques après avoir bu du jus de cassis ; le jus de cassis rend donc fort en mathématiques.,124.0,,Insufficiency,Sloppy argument,Trivial Justification,Anecdotal evidence,18.0,,Using anecdotes or examples to either support or refute a claim.,64.0,"I had good grades in mathematics after drinking blackcurrant juice; thus, blackcurrant juice makes one strong in mathematics.",,125,http://rationalwiki.org/wiki/Anecdotal_evidence,,,,,"Juillet sans orage,Famine au village.""",недостаток,Топорный аргумент,Тривиальное обоснование,Анекдотичное обоснование,Случайное событие или пример вы приравниваете к аргументу.,Я попил черносмородинового сока и после этого получил хорошую оценку по математике. Так что этот сок развивает математические способности. ,,Insuficiência,Argumento descuidado,Justificação Trivial,Prova Anedótica,"Vocês baseiam sua argumentação em um evento isolado, que não é suficiente para provar uma regra geral.","Tive boas notas em matemática depois de beber suco de groselha; portanto, o suco de groselha torna forte em matemática.",,1,1.0,,,,,,,,,,,,"Example_Inference, InductiveInference_Scheme",,skos:broadMatch,circle,microscope,,,1.0,1.121,4+
43,1.1.2.2,"1,122",4,Insuffisance,insuffisance,Argument bâclé,Justification triviale,1,1.0,1.0,,,Pratique courante,17.0,Vous considérez qu'un comportement est justifié parce qu'il est communément adopté.,83.0,Tout le monde dépasse les limites de vitesse; cela ne devrait donc pas être sanctionné.,87.0,http://autopsia.fr/sophismes-arguments-autorite,Insufficiency,Sloppy argument,Trivial Justification,Appeal to common practice,25.0,,"Justifying choices, methods or actions on grounds that they are common practice.",80.0,Everyone speeds; it shouldn't be penalized.,,43,http://www.nizkor.org/features/fallacies/appeal-to-common-practice.html,le lien FR le met sous arguments d'autorité... lien transverse?,,,,"""Tout le monde le fait""",недостаток,Топорный аргумент,Тривиальное обоснование,Так принято,"Вы оправдываете свое поведение тем, что так поступают все. ","Все превышают скорость, поэтому за это нельзя штрафовать. ",https://ru.wikipedia.org/wiki/Апелляция_к_большинству,Insuficiência,Argumento descuidado,Justificação Trivial,Apelo à prática comum,"Justificando escolhas, métodos ou ações com base no fato de serem práticas comuns.",Todos ultrapassam os limites de velocidade; isso não deveria ser penalizado.,,1,,,,,,,,,,,,,PopularPractice_Inference,,skos:closeMatch,circle,homme sous un mouton,,,,1.122,4+
51,1.1.2.3,"1,123",4,Insuffisance,insuffisance,Argument bâclé,Justification triviale,1,2.0,4.0,,,Sophisme du psychologue,23.0,Vous confondez votre perspective individuelle avec une objectivité universelle.,79.0,Je trouve les enfants terrifiants ; vous avez donc beaucoup de mérite à élever le vôtre.,88.0,,Insufficiency,Sloppy argument,Trivial Justification,Psychologist's fallacy,22.0,,Confusing subjective experience of reality with the essence of that which is being observed.,92.0,I find children terrifying; you deserve a lot of credit for raising yours.,,74,https://en.wikipedia.org/wiki/Psychologist%27s_fallacy,,,,,,недостаток,Топорный аргумент,Тривиальное обоснование,Софизм психолога,Вашу личную точку зрения вы считаете объективной. ,"Дети - это монстры, так что честь вам и хвала за то, как вы воспитываете вашего. ",,Insuficiência,Argumento descuidado,Justificação Trivial,Sofisma do Psicólogo,Confundindo a experiência subjetiva da realidade com a essência daquilo que está sendo observado.,Eu tenho muito medo de crianças. Você é muito corajoso por estar criando a sua.,,,,,,,,,,,,,,,,,,circle,,,,,1.123,4+
55,1.1.3,"1,13",3,Insuffisance,insuffisance,Argument bâclé,Sauvetage ad hoc,2,2.0,6.0,,,Sauvetage ad hoc,16.0,"Face à des objections valables, vous improvisez des justifications non fondées pour échapper à la critique.",107.0,"Si on ne les voit pas les extraterrestres, c'est parce qu'ils frappent d'amnésie tous ceux qui les aperçoivent.",111.0,https://initiativerationnelle.wordpress.com/2016/04/16/sauvetage-ad-hoc/,Insufficiency,Sloppy argument,Ad hoc rescue,Ad hoc rescue,13.0,,Making unjustified explanatory hypotheses in order to prove that a counter-argument is not actually disproving one's point.,123.0,"If we don't see extraterrestrials, it's because they give amnesia to everyone who sees them.",,92,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/8/Ad-Hoc-Rescue,"J'ajoute la notion d'irréfutabilité qui me parait indissociable de cette technique rhétorique, et je me demande si l'exemple ne devrait pas être le fameux dragon de Carl Sagan - J
",,,,"""Il n'est pire sourd que celui qui ne veut pas entendre."" XXXcheck que ça va ou: ""se raccrocher aux branches""",недостаток,Топорный аргумент,Спасение ad hoc,Спасение ad hoc,"Вы отвечаете на справедливую критику необоснованными объяснениями, которые невозможно проверить. ","Если мы не видим инопланетян, это потому что они вызывают амнезию у всех, кто их видит.",https://ru.wikipedia.org/wiki/Ad_hoc,Insuficiência,Argumento descuidado,Resgate Ad Hoc,Resgate Ad Hoc,Fazendo hipóteses explicativas injustificadas para provar que um contra-argumento na realidade não está refutando o ponto de vista de alguém.,"Se não vemos extraterrestres, é porque eles provocam amnésia em todos que os veem.",,,,,,,,,,,,,Opposé,,,,,circle,,,,,1.13,3
70,1.2,"1,2",2,Insuffisance,insuffisance,Préjugé,,1,1.0,8.0,,,Préjugé,7.0,Vous basez vos arguments sur des idées reçues sans les remettre en question.,76.0,Laisse donc ton père ouvrir ce pot de cornichons: c'est une affaire d'hommes.,77.0,https://fr.wikipedia.org/wiki/Pr%C3%A9jug%C3%A9,Insufficiency,Prejudice,,Prejudice,9.0,,Arguing on the basis of unchallenged pre-conceptions.,53.0,"Let your father open that jar of pickles, it's a man's job.",,59,https://en.wikipedia.org/wiki/Prejudice,,,,,,недостаток,Предрассудок,,Предрассудок,Рассуждение основано на стереотипах,"Пусть банку с огурцами откроет отец, это мужская работа. ",https://ru.wikipedia.org/wiki/Предрассудок,Insuficiência,Preconceito,,Preconceito,Vocês baseiam seus argumentos em ideias pré-concebidas sem questioná-las.,Deixem seu pai abrir esse pote de pepinos: é um trabalho para homens.,,,,,,,,,,,,,,Bias_Inference,"PopularOpinion_Inference, EstablishedRule_Inference, PracticalReasoning_Inference, PositionToKnow_Inference, Preference_Scheme, PresumptiveInference_Scheme",,skos:broadMatch,circle,oeillères,,,,1.2,2
71,1.2.1,"1,21",3,Insuffisance,insuffisance,Préjugé,Argument d'autorité,1,2.0,1.0,,,Argument d'autorité,19.0,"Vous croyez qu'une affirmation est vraie uniquement parce qu'une autorité la soutient, sans examiner les faits.",111.0,"Bien qu'ayant trop chaud, je n'enlève pas mon manteau, car maman a dit qu'il faisait froid.",91.0,https://fr.wikipedia.org/wiki/Argument_d%27autorité,Insufficiency,Prejudice,Argument from Authority,Argument from Authority,23.0,,"Grounding claims on the high status of a supporter, regardless of the basis or relevance of the supporter's status.",115.0,I'm feeling hot but I'll keep my coat on because Mum said it was cold today.,,76,https://en.wikipedia.org/wiki/Argument_from_authority,"An argument from authority, also called an appeal to authority, popularized by John Locke as the argumentum ad verecundiam
Jesse: CF version FR: il y a 3 expressions en latin, qui correspondent ici à des sous-categories
Liens transverses (mmiroir) vers par le mépris, par la haine... Lein t vers achievements",,,,,недостаток,Предрассудок,Воззвание к авторитету,Воззвание к авторитету,"Вы основываете суждение на авторитетности экспертов, а не на убедительности самих доводов. ","—Моня! Иди домой! 
—Мама, я замёрз? 
—Нет, ты хочешь кушать!",https://ru.wikipedia.org/wiki/Апелляция_к_авторитету,Insuficiência,Preconceito,Argumento de Autoridade,Argumento de Autoridade,"Vocês acreditam que uma afirmação é verdadeira somente porque uma autoridade a apoia, sem examinar os fatos.","Embora eu esteja com calor, não vou tirar meu casaco, porque mamãe disse que estava frio.",,1,1.0,,,,,,,,,,,ExpertiseInconsistency_Conflict,ExpertOpinion_Inference,,skos:closeMatch,circle,roi éléphant ivre,,,1.0,1.21,3
